Stimulus_Number,file,ActorID,Age,Sex,Race,Ethnicity,audio_path,clean_path,emotion,demo,feature_exists,split
1,1001_IEO_NEU_XX,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_NEU_XX.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_NEU_XX.wav,NEU,Male__Caucasian,True,train
2,1001_IEO_HAP_LO,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_HAP_LO.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_HAP_LO.wav,HAP,Male__Caucasian,True,train
3,1001_IEO_HAP_MD,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_HAP_MD.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_HAP_MD.wav,HAP,Male__Caucasian,True,train
4,1001_IEO_HAP_HI,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_HAP_HI.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_HAP_HI.wav,HAP,Male__Caucasian,True,train
5,1001_IEO_SAD_LO,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_SAD_LO.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_SAD_LO.wav,SAD,Male__Caucasian,True,train
6,1001_IEO_SAD_MD,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_SAD_MD.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_SAD_MD.wav,SAD,Male__Caucasian,True,train
7,1001_IEO_SAD_HI,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_SAD_HI.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_SAD_HI.wav,SAD,Male__Caucasian,True,train
8,1001_IEO_ANG_LO,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_ANG_LO.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_ANG_LO.wav,ANG,Male__Caucasian,True,train
9,1001_IEO_ANG_MD,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_ANG_MD.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_ANG_MD.wav,ANG,Male__Caucasian,True,train
10,1001_IEO_ANG_HI,1001,51,Male,Caucasian,Not Hispanic,/Users/pc/Desktop/CODING/Others/fairvoice/data/raw/CREMA-D/AudioWAV/1001_IEO_ANG_HI.wav,/Users/pc/Desktop/CODING/Others/fairvoice/data/processed/audio_clean/1001_IEO_ANG_HI.wav,ANG,Male__Caucasian,True,train
