Ethnicity_x,class,TPR,FPR
Not Hispanic,0,0.6797385576487676,0.0659488559004726
Not Hispanic,1,0.1699346394121919,0.06056527582696464
Not Hispanic,2,0.09803921504549533,0.03499327047780179
Not Hispanic,3,0.3921568601819813,0.1453566619847151
Not Hispanic,4,0.35877862321543036,0.1424836599444658
Not Hispanic,5,0.712418295997266,0.2664872136386444
Hispanic,0,0.28571427551020445,0.0
Hispanic,1,0.3928571288265311,0.036764705612024225
Hispanic,2,0.035714284438775556,0.022058823367214535
Hispanic,3,0.7142856887755111,0.2279411747945502
Hispanic,4,0.6249999739583344,0.1214285705612245
Hispanic,5,0.8214285420918378,0.22058823367214533
