Race_x,class,TPR,FPR
Caucasian,0,0.6639999946880001,0.024711696829140532
Caucasian,1,0.19999999840000002,0.06425041175576539
Caucasian,2,0.111999999104,0.03789126847134882
Caucasian,3,0.48799999609600003,0.1680395384381556
Caucasian,4,0.2897196234605643,0.12159999980544
Caucasian,5,0.7439999940480001,0.28006589739692606
African American,0,0.6428571275510208,0.1666666658496732
African American,1,0.238095232426304,0.019607843041138023
African American,2,0.0476190464852608,0.019607843041138023
African American,3,0.40476189512471683,0.1568627443291042
African American,4,0.6666666481481487,0.16666666587301587
African American,5,0.59523808106576,0.1568627443291042
Asian,0,0.14285713265306196,0.0
Asian,1,0.14285713265306196,0.10294117495674743
Asian,2,0.0,0.02941176427335641
Asian,3,0.14285713265306196,0.07352941068339103
Asian,4,0.5833332847222263,0.21428571122448986
Asian,5,0.9999999285714337,0.3823529355536333
