Sex_x,class,TPR,FPR
Female,0,0.6024096312962696,0.032258064436084206
Female,1,0.3012048156481348,0.0769230767322008
Female,2,0.1325301188851793,0.052109181012136026
Female,3,0.6385542091740457,0.18858560747249228
Female,4,0.2816901368776037,0.07469879500072579
Female,5,0.7228915575555235,0.23573200934061536
Male,0,0.6326530547688464,0.07563025194195325
Male,1,0.12244897834235736,0.03991596630269755
Male,2,0.0510204076426489,0.01680672265376739
Male,3,0.27551020127030407,0.1323529408984182
Male,4,0.49999999404761913,0.1938775506247397
Male,5,0.7346938700541442,0.27941176411888285
