Age_Group,class,TPR,FPR
Middle,0,0.6385542091740457,0.11166253074029149
Middle,1,0.18072288938888087,0.05955334972815546
Middle,2,0.10843373363332852,0.03970223315210364
Middle,3,0.3734939714036871,0.12903225774433683
Middle,4,0.30985915056536406,0.08192771064595733
Middle,5,0.6987951723036726,0.31513647564482267
Youth,0,0.5714285646258505,0.0073529411584486734
Youth,1,0.2142857117346939,0.0465686273368416
Youth,2,0.0238095235260771,0.02205882347534602
Youth,3,0.48809523228458057,0.20098039166426374
Youth,4,0.5555555478395063,0.20238095189909297
Youth,5,0.7619047528344672,0.1985294112781142
Adult,0,0.7857142295918408,0.014705882136678205
Adult,1,0.2857142653061239,0.10294117495674743
Adult,2,0.3571428316326549,0.05882352854671282
Adult,3,0.5714285306122479,0.07352941068339103
Adult,4,0.0,0.09999999857142859
Adult,5,0.7142856632653098,0.2941176427335641
